                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3658,                0.95823,                0.99909,                 2.7721,              0.0033326,              0.0033326,              0.0033326
                      2,                0.22187,                0.98162,                0.99983,                 2.7144,              0.0063359,              0.0063359,              0.0063359
                      3,                0.17392,                0.98566,                0.99989,                 2.7046,              0.0090093,              0.0090093,              0.0090093
                      4,                0.17165,                 0.9897,                0.99989,                 2.6971,               0.008515,               0.008515,               0.008515
                      5,                0.12167,                0.99368,                0.99989,                 2.6921,                0.00802,                0.00802,                0.00802
                      6,                 0.0983,                0.99471,                0.99989,                 2.6902,               0.007525,               0.007525,               0.007525
                      7,                0.08297,                0.99545,                0.99994,                 2.6885,                0.00703,                0.00703,                0.00703
                      8,                0.06981,                0.99664,                0.99994,                 2.6876,               0.006535,               0.006535,               0.006535
                      9,                0.06277,                0.99687,                0.99994,                 2.6865,                0.00604,                0.00604,                0.00604
                     10,                0.05704,                0.99721,                0.99989,                 2.6861,               0.005545,               0.005545,               0.005545
                     11,                0.05025,                0.99761,                0.99989,                 2.6857,                0.00505,                0.00505,                0.00505
                     12,                0.04516,                0.99772,                0.99994,                 2.6855,               0.004555,               0.004555,               0.004555
                     13,                0.03889,                0.99784,                0.99994,                 2.6853,                0.00406,                0.00406,                0.00406
                     14,                0.03415,                0.99801,                0.99994,                 2.6851,               0.003565,               0.003565,               0.003565
                     15,                0.02975,                0.99807,                0.99994,                  2.685,                0.00307,                0.00307,                0.00307
                     16,                0.02263,                0.99812,                0.99994,                 2.6849,               0.002575,               0.002575,               0.002575
                     17,                 0.0211,                0.99829,                0.99994,                 2.6848,                0.00208,                0.00208,                0.00208
                     18,                 0.0185,                0.99829,                0.99994,                 2.6847,               0.001585,               0.001585,               0.001585
                     19,                0.01594,                0.99841,                0.99994,                 2.6846,                0.00109,                0.00109,                0.00109
                     20,                  0.014,                0.99858,                0.99994,                 2.6846,               0.000595,               0.000595,               0.000595
